Build, Overall Status, Date, Time, Branch, Total Duration, Build Delay, Pipeline Duration, Pipeline Delay, Pauses In Stage, Tool Setup, Checkout, Build, Analysis, Archive, Deployment, Build and Run Test Suite, Generate Reports
#60, SUCCESS, 14-12-2017, 03:47:24, master, 3.40, 0.8, 3.32, 0.0, 0.0, 0.0, 0.4, 0.39, 0.53, 0.6, 0.19, 1.31, 0.0
#59, FAILURE, 14-12-2017, 03:47:06, master, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
#58, FAILURE, 14-12-2017, 03:46:43, master, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
#57, SUCCESS, 14-12-2017, 03:09:46, master, 5.5, 0.11, 4.54, 0.0, 0.0, 0.0, 0.8, 0.35, 0.57, 0.30, 1.1, 1.42, 0.1
#56, FAILURE, 14-12-2017, 03:06:57, master, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
#55, FAILURE, 14-12-2017, 03:01:13, master, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
#54, FAILURE, 14-12-2017, 03:00:54, master, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
#53, FAILURE, 14-12-2017, 03:00:05, master, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
#52, SUCCESS, 14-12-2017, 12:15:32, master, 4.31, 0.16, 4.15, 0.0, 0.0, 0.0, 0.5, 0.17, 0.25, 0.2, 0.21, 2.48, 0.17
#48, FAILURE, 14-12-2017, 11:59:31, master, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
#47, FAILURE, 14-12-2017, 11:59:19, master, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
#40, SUCCESS, 14-12-2017, 11:29:05, master, 3.31, 0.11, 3.20, 0.0, 0.0, 0.0, 0.4, 0.13, 0.53, 1.0, 0.0, 1.9, 0.1
